Variable_1,Variable_2,Correlacion_Spearman,P_Valor,Significativo
Confianza_Matematicas,Influencia_Arte_Blandas,0.08264634177269191,0.14016902215321644,No
Confianza_Matematicas,Conocimiento_Ciencia_Mat,0.5721114218580674,2.1830240448122104e-29,Si
Confianza_Matematicas,Animo_Maestros,0.16720056790356813,0.0026137289700628244,Si
Confianza_Matematicas,Apoyo_Familiar,0.3850763272097818,9.424432700517414e-13,Si
Confianza_Matematicas,Optimismo_Futuro,0.32244589950984365,3.972724965690051e-09,Si
Confianza_Matematicas,Impacto_Innovacion,0.16307975525374016,0.003542965499120831,Si
Confianza_Matematicas,Probabilidad_STEAM,0.23956346482102475,1.4330789806408964e-05,Si
Confianza_Matematicas,Nivel_Informacion,0.12571185862345724,0.024070453118069,Si
Influencia_Arte_Blandas,Confianza_Matematicas,0.08264634177269191,0.14016902215321644,No
Influencia_Arte_Blandas,Conocimiento_Ciencia_Mat,0.20770587941524646,0.00018263103468974472,Si
Influencia_Arte_Blandas,Animo_Maestros,0.1913836083409539,0.000577329912846334,Si
Influencia_Arte_Blandas,Apoyo_Familiar,0.15606360346950607,0.005284442518197969,Si
Influencia_Arte_Blandas,Optimismo_Futuro,0.2577618404460513,3.440484357484399e-06,Si
Influencia_Arte_Blandas,Impacto_Innovacion,0.1524244030122052,0.0066336251895971286,Si
Influencia_Arte_Blandas,Probabilidad_STEAM,0.1566234648039357,0.005051567633684394,Si
Influencia_Arte_Blandas,Nivel_Informacion,0.08320747499604991,0.13748757369145725,No
Conocimiento_Ciencia_Mat,Confianza_Matematicas,0.5721114218580674,2.1830240448122104e-29,Si
Conocimiento_Ciencia_Mat,Influencia_Arte_Blandas,0.20770587941524646,0.00018263103468974472,Si
Conocimiento_Ciencia_Mat,Animo_Maestros,0.21829671101584464,7.824968110143902e-05,Si
Conocimiento_Ciencia_Mat,Apoyo_Familiar,0.4548077526734566,9.660261727735246e-18,Si
Conocimiento_Ciencia_Mat,Optimismo_Futuro,0.42163797019063937,3.880954787559928e-15,Si
Conocimiento_Ciencia_Mat,Impacto_Innovacion,0.255321113978113,3.992771427790949e-06,Si
Conocimiento_Ciencia_Mat,Probabilidad_STEAM,0.43068302326569735,6.279940300710788e-16,Si
Conocimiento_Ciencia_Mat,Nivel_Informacion,0.1829902698555905,0.0009710937015935483,Si
Animo_Maestros,Confianza_Matematicas,0.1672005679035681,0.0026137289700628296,Si
Animo_Maestros,Influencia_Arte_Blandas,0.19138360834095391,0.0005773299128463327,Si
Animo_Maestros,Conocimiento_Ciencia_Mat,0.21829671101584464,7.824968110143902e-05,Si
Animo_Maestros,Apoyo_Familiar,0.22513206527274707,4.8277258141373795e-05,Si
Animo_Maestros,Optimismo_Futuro,0.32606268890861123,2.5980322846472676e-09,Si
Animo_Maestros,Impacto_Innovacion,0.1736383462347956,0.0018844533049964254,Si
Animo_Maestros,Probabilidad_STEAM,0.1922861736729815,0.0005321452574618743,Si
Animo_Maestros,Nivel_Informacion,0.19706093639577776,0.00037465155868926536,Si
Apoyo_Familiar,Confianza_Matematicas,0.3850763272097818,9.424432700517414e-13,Si
Apoyo_Familiar,Influencia_Arte_Blandas,0.15606360346950607,0.005284442518197969,Si
Apoyo_Familiar,Conocimiento_Ciencia_Mat,0.4548077526734566,9.660261727735246e-18,Si
Apoyo_Familiar,Animo_Maestros,0.22513206527274707,4.8277258141373795e-05,Si
Apoyo_Familiar,Optimismo_Futuro,0.3542308223444576,8.966664434419275e-11,Si
Apoyo_Familiar,Impacto_Innovacion,0.27616898428767256,6.127458689218199e-07,Si
Apoyo_Familiar,Probabilidad_STEAM,0.3679008800433578,1.1645167887155538e-11,Si
Apoyo_Familiar,Nivel_Informacion,0.1911513800861542,0.0005864788972755835,Si
Optimismo_Futuro,Confianza_Matematicas,0.32244589950984365,3.972724965690051e-09,Si
Optimismo_Futuro,Influencia_Arte_Blandas,0.2577618404460513,3.440484357484399e-06,Si
Optimismo_Futuro,Conocimiento_Ciencia_Mat,0.42163797019063937,3.880954787559928e-15,Si
Optimismo_Futuro,Animo_Maestros,0.32606268890861123,2.5980322846472676e-09,Si
Optimismo_Futuro,Apoyo_Familiar,0.3542308223444576,8.966664434419275e-11,Si
Optimismo_Futuro,Impacto_Innovacion,0.38638159836482977,1.275865605470835e-12,Si
Optimismo_Futuro,Probabilidad_STEAM,0.5470450843349633,3.860490296008129e-26,Si
Optimismo_Futuro,Nivel_Informacion,0.28172672458389797,3.2566114336679325e-07,Si
Impacto_Innovacion,Confianza_Matematicas,0.16307975525374016,0.003542965499120831,Si
Impacto_Innovacion,Influencia_Arte_Blandas,0.1524244030122052,0.0066336251895971286,Si
Impacto_Innovacion,Conocimiento_Ciencia_Mat,0.255321113978113,3.992771427790949e-06,Si
Impacto_Innovacion,Animo_Maestros,0.1736383462347956,0.0018844533049964254,Si
Impacto_Innovacion,Apoyo_Familiar,0.27616898428767256,6.127458689218199e-07,Si
Impacto_Innovacion,Optimismo_Futuro,0.38638159836482977,1.275865605470835e-12,Si
Impacto_Innovacion,Probabilidad_STEAM,0.2809515261974867,3.671835999347212e-07,Si
Impacto_Innovacion,Nivel_Informacion,0.20892137938077426,0.0001751343435970183,Si
Probabilidad_STEAM,Confianza_Matematicas,0.23956346482102475,1.4330789806408964e-05,Si
Probabilidad_STEAM,Influencia_Arte_Blandas,0.15662346480393574,0.005051567633684388,Si
Probabilidad_STEAM,Conocimiento_Ciencia_Mat,0.4306830232656974,6.279940300710725e-16,Si
Probabilidad_STEAM,Animo_Maestros,0.19228617367298148,0.0005321452574618743,Si
Probabilidad_STEAM,Apoyo_Familiar,0.3679008800433578,1.1645167887155538e-11,Si
Probabilidad_STEAM,Optimismo_Futuro,0.5470450843349632,3.860490296008285e-26,Si
Probabilidad_STEAM,Impacto_Innovacion,0.2809515261974867,3.671835999347212e-07,Si
Probabilidad_STEAM,Nivel_Informacion,0.2682054484585894,1.0816080640075852e-06,Si
Nivel_Informacion,Confianza_Matematicas,0.1257118586234572,0.02407045311806904,Si
Nivel_Informacion,Influencia_Arte_Blandas,0.0832074749960499,0.13748757369145728,No
Nivel_Informacion,Conocimiento_Ciencia_Mat,0.18299026985559053,0.0009710937015935483,Si
Nivel_Informacion,Animo_Maestros,0.19706093639577776,0.00037465155868926536,Si
Nivel_Informacion,Apoyo_Familiar,0.1911513800861542,0.0005864788972755835,Si
Nivel_Informacion,Optimismo_Futuro,0.28172672458389797,3.2566114336679325e-07,Si
Nivel_Informacion,Impacto_Innovacion,0.20892137938077426,0.0001751343435970183,Si
Nivel_Informacion,Probabilidad_STEAM,0.2682054484585894,1.0816080640075852e-06,Si
